Material;DataHora;Estoque;Custo_Unitario;Custo_Total
Soro Fisiológico;2024-07-24 21:00:00;428;2,96;1266,88
Dipirona;2024-03-31 09:00:00;505;1,28;646,4
Soro Fisiológico;2024-10-22 15:00:00;283;2,96;837,68
Máscaras N95;2024-03-10 03:00:00;316;4,89;1545,24
Adrenalina;2024-07-13 09:00:00;361;5,06;1826,66
Dipirona;2024-04-04 12:00:00;511;1,29;659,19
Soro Fisiológico;2024-08-19 00:00:00;130;2,99;388,7
Gaze Estéril;2024-07-20 03:00:00;287;0,4;114,8
Algodão;2024-02-15 00:00:00;98;0,25;24,5
Gaze Estéril;2024-06-30 06:00:00;283;0,4;113,2
Paracetamol;2024-11-06 03:00:00;445;1,47;654,15
Máscaras N95;2024-09-13 00:00:00;301;5,13;1544,13
Paracetamol;2024-08-20 06:00:00;468;1,53;716,04
Adrenalina;2024-05-10 21:00:00;291;5,09;1481,19
Máscaras N95;2024-06-13 18:00:00;310;4,06;1258,6
Seringas;2024-06-16 15:00:00;68;0,51;34,68
Adrenalina;2024-07-28 12:00:00;42;4,91;206,22
Algodão;2024-04-11 18:00:00;88;0,25;22
Soro Fisiológico;2024-02-02 21:00:00;444;3,05;1354,2
Gaze Estéril;2024-11-09 18:00:00;306;0,39;119,34
Seringas;2024-08-09 21:00:00;133;0,52;69,16
Paracetamol;2024-07-19 06:00:00;485;1,51;732,35
Máscaras N95;2024-10-05 09:00:00;326;5;1630
Seringas;2024-11-05 12:00:00;394;0,54;212,76
Soro Fisiológico;2024-11-04 06:00:00;335;2,97;994,95
Máscaras N95;2024-12-01 21:00:00;303;5,06;1533,18
Dipirona;2024-03-09 09:00:00;536;1,32;707,52
Paracetamol;2024-02-09 18:00:00;507;1,49;755,43
Seringas;2024-02-11 21:00:00;172;0,45;77,4
Álcool 70%;2024-05-01 09:00:00;113;1,99;224,87
Gaze Estéril;2024-12-25 12:00:00;284;0,4;113,6
Álcool 70%;2024-03-13 12:00:00;150;1,99;298,5
Álcool 70%;2024-10-05 00:00:00;442;1,99;879,58
Máscaras N95;2024-05-21 15:00:00;287;4,8;1377,6
Adrenalina;2024-06-07 03:00:00;205;5,04;1033,2
Álcool 70%;2024-02-23 06:00:00;514;1,97;1012,58
Máscaras N95;2024-06-28 06:00:00;319;4,46;1422,74
Seringas;2024-08-09 18:00:00;1029;0,45;463,05
Seringas;2024-12-28 18:00:00;726;0,46;333,96
Dipirona;2024-12-27 15:00:00;544;1,3;707,2
Algodão;2024-12-13 03:00:00;179;0,25;44,75
Adrenalina;2024-05-31 12:00:00;166;5,09;844,94
Gaze Estéril;2024-07-29 03:00:00;292;0,4;116,8
Algodão;2024-10-12 21:00:00;133;0,25;33,25
Seringas;2024-06-29 12:00:00;91;0,55;50,05
Algodão;2024-10-03 00:00:00;216;0,25;54
Dipirona;2024-08-18 21:00:00;472;1,29;608,88
Soro Fisiológico;2024-01-05 18:00:00;346;2,96;1024,16
Soro Fisiológico;2024-06-15 03:00:00;359;2,94;1055,46
Luvas Cirúrgicas;2024-04-14 15:00:00;167;0,88;146,96
Adrenalina;2024-11-26 09:00:00;422;5,03;2122,66
Luvas Cirúrgicas;2024-02-15 15:00:00;209;0,76;158,84
Gaze Estéril;2024-07-16 03:00:00;313;0,4;125,2
Paracetamol;2024-01-11 12:00:00;492;1,5;738
Soro Fisiológico;2024-08-02 06:00:00;349;3,02;1053,98
Máscaras N95;2024-09-10 06:00:00;309;4,59;1418,31
Dipirona;2024-04-25 09:00:00;525;1,32;693
Algodão;2024-10-13 15:00:00;321;0,25;80,25
Álcool 70%;2024-06-17 21:00:00;437;2,03;887,11
Seringas;2024-05-23 06:00:00;808;0,5;404
Álcool 70%;2024-09-23 06:00:00;426;2,03;864,78
Gaze Estéril;2024-10-17 12:00:00;307;0,4;122,8
Máscaras N95;2024-09-10 15:00:00;308;5,11;1573,88
Soro Fisiológico;2024-07-25 00:00:00;441;2,94;1296,54
Máscaras N95;2024-09-04 15:00:00;311;4,82;1499,02
Luvas Cirúrgicas;2024-11-26 09:00:00;118;0,81;95,58
Dipirona;2024-03-25 21:00:00;508;1,29;655,32
Soro Fisiológico;2024-10-13 09:00:00;390;3;1170
Gaze Estéril;2024-12-24 09:00:00;289;0,4;115,6
Adrenalina;2024-02-07 03:00:00;240;5,07;1216,8
Álcool 70%;2024-01-29 18:00:00;155;1,97;305,35
Paracetamol;2024-06-14 00:00:00;549;1,53;839,97
Gaze Estéril;2024-03-25 15:00:00;316;0,4;126,4
Álcool 70%;2024-08-07 09:00:00;304;1,99;604,96
Gaze Estéril;2024-04-27 03:00:00;309;0,39;120,51
Algodão;2024-03-17 15:00:00;228;0,25;57
Dipirona;2024-11-02 12:00:00;495;1,32;653,4
Dipirona;2024-12-27 03:00:00;523;1,32;690,36
Luvas Cirúrgicas;2024-11-27 18:00:00;201;0,85;170,85
Máscaras N95;2024-07-20 06:00:00;301;4,99;1501,99
Adrenalina;2024-02-02 09:00:00;326;4,95;1613,7
Máscaras N95;2024-12-30 03:00:00;303;5,16;1563,48
Máscaras N95;2024-03-20 18:00:00;306;4,76;1456,56
Adrenalina;2024-11-09 00:00:00;454;4,91;2229,14
Luvas Cirúrgicas;2024-10-01 21:00:00;111;0,78;86,58
Seringas;2024-05-21 09:00:00;540;0,49;264,6
Paracetamol;2024-05-22 21:00:00;499;1,52;758,48
Adrenalina;2024-11-24 18:00:00;234;5;1170
Paracetamol;2024-03-09 21:00:00;503;1,51;759,53
Seringas;2024-09-07 00:00:00;82;0,45;36,9
Gaze Estéril;2024-08-08 09:00:00;293;0,4;117,2
Adrenalina;2024-12-07 18:00:00;414;5,07;2098,98
Álcool 70%;2024-10-09 15:00:00;74;1,98;146,52
Paracetamol;2024-12-16 09:00:00;520;1,49;774,8
Paracetamol;2024-05-10 18:00:00;468;1,49;697,32
Paracetamol;2024-01-19 15:00:00;494;1,51;745,94
Dipirona;2024-01-18 15:00:00;482;1,28;616,96
Adrenalina;2024-12-19 12:00:00;180;4,9;882
Paracetamol;2024-01-12 18:00:00;536;1,51;809,36
Adrenalina;2024-08-09 03:00:00;160;5,01;801,6
Máscaras N95;2024-03-05 06:00:00;286;5,01;1432,86
Gaze Estéril;2024-05-20 12:00:00;285;0,4;114
Paracetamol;2024-04-24 06:00:00;518;1,52;787,36
Soro Fisiológico;2024-05-06 03:00:00;380;3,01;1143,8
Gaze Estéril;2024-04-04 00:00:00;287;0,4;114,8
Gaze Estéril;2024-02-15 15:00:00;308;0,4;123,2
Gaze Estéril;2024-01-24 21:00:00;286;0,4;114,4
Gaze Estéril;2024-06-19 09:00:00;288;0,4;115,2
Paracetamol;2024-07-06 00:00:00;522;1,52;793,44
Álcool 70%;2024-07-25 06:00:00;392;2,02;791,84
Algodão;2024-10-05 09:00:00;363;0,25;90,75
Seringas;2024-12-14 09:00:00;404;0,55;222,2
Seringas;2024-07-05 18:00:00;659;0,48;316,32
Dipirona;2024-09-01 15:00:00;518;1,29;668,22
Soro Fisiológico;2024-08-19 03:00:00;431;2,99;1288,69
Algodão;2024-10-19 03:00:00;54;0,25;13,5
Adrenalina;2024-06-04 06:00:00;302;5,08;1534,16
Máscaras N95;2024-04-24 18:00:00;297;5,02;1490,94
Adrenalina;2024-09-09 03:00:00;291;4,93;1434,63
Gaze Estéril;2024-09-16 15:00:00;311;0,4;124,4
Algodão;2024-03-17 18:00:00;497;0,25;124,25
Máscaras N95;2024-09-26 18:00:00;287;5,04;1446,48
Soro Fisiológico;2024-12-11 12:00:00;182;3,04;553,28
Algodão;2024-07-01 03:00:00;423;0,25;105,75
Luvas Cirúrgicas;2024-03-18 15:00:00;353;0,9;317,7
Máscaras N95;2024-04-10 00:00:00;279;4,53;1263,87
Máscaras N95;2024-02-11 03:00:00;301;4,38;1318,38
Máscaras N95;2024-12-09 18:00:00;272;4,54;1234,88
Seringas;2024-03-10 00:00:00;16;0,55;8,8
Seringas;2024-01-07 18:00:00;116;0,56;64,96
Soro Fisiológico;2024-06-16 03:00:00;295;3,01;887,95
Dipirona;2024-09-03 15:00:00;492;1,3;639,6
Seringas;2024-09-29 03:00:00;131;0,45;58,95
Luvas Cirúrgicas;2024-12-31 00:00:00;108;0,8;86,4
Algodão;2024-02-06 15:00:00;252;0,25;63
Dipirona;2024-10-04 03:00:00;460;1,3;598
Gaze Estéril;2024-12-18 09:00:00;335;0,4;134
Adrenalina;2024-06-27 12:00:00;290;5,05;1464,5
Dipirona;2024-11-26 00:00:00;510;1,29;657,9
Paracetamol;2024-09-02 21:00:00;517;1,5;775,5
Gaze Estéril;2024-10-19 15:00:00;298;0,4;119,2
Soro Fisiológico;2024-03-15 00:00:00;266;3,04;808,64
Algodão;2024-12-26 18:00:00;536;0,25;134
Álcool 70%;2024-12-24 15:00:00;350;1,99;696,5
Paracetamol;2024-07-23 06:00:00;495;1,5;742,5
Álcool 70%;2024-02-14 09:00:00;206;2;412
Adrenalina;2024-07-12 06:00:00;109;4,95;539,55
Máscaras N95;2024-01-24 15:00:00;313;4,75;1486,75
Algodão;2024-03-03 09:00:00;124;0,25;31
Soro Fisiológico;2024-05-08 03:00:00;396;2,97;1176,12
Máscaras N95;2024-03-10 12:00:00;308;4,58;1410,64
Álcool 70%;2024-07-24 18:00:00;161;2,03;326,83
Algodão;2024-03-12 06:00:00;338;0,25;84,5
Dipirona;2024-01-14 15:00:00;530;1,28;678,4
Soro Fisiológico;2024-04-20 21:00:00;348;3,02;1050,96
Paracetamol;2024-03-18 18:00:00;480;1,49;715,2
Adrenalina;2024-02-18 18:00:00;283;5,04;1426,32
Paracetamol;2024-04-25 18:00:00;502;1,49;747,98
Soro Fisiológico;2024-04-23 06:00:00;378;3,05;1152,9
Luvas Cirúrgicas;2024-10-04 15:00:00;562;0,89;500,18
Seringas;2024-10-01 03:00:00;382;0,57;217,74
Máscaras N95;2024-04-26 21:00:00;282;4,81;1356,42
Algodão;2024-09-18 09:00:00;131;0,25;32,75
Seringas;2024-01-11 00:00:00;608;0,46;279,68
Gaze Estéril;2024-11-16 09:00:00;305;0,39;118,95
Álcool 70%;2024-08-17 18:00:00;521;2,01;1047,21
Algodão;2024-01-19 00:00:00;105;0,25;26,25
Luvas Cirúrgicas;2024-08-25 15:00:00;483;0,89;429,87
Paracetamol;2024-06-15 12:00:00;499;1,5;748,5
Soro Fisiológico;2024-02-25 00:00:00;398;3,05;1213,9
Dipirona;2024-10-04 15:00:00;520;1,29;670,8
Álcool 70%;2024-09-01 18:00:00;209;1,97;411,73
Soro Fisiológico;2024-08-05 06:00:00;52;3,03;157,56
Paracetamol;2024-12-02 00:00:00;466;1,53;712,98
Paracetamol;2024-08-02 06:00:00;481;1,52;731,12
Álcool 70%;2024-09-18 15:00:00;478;1,98;946,44
Gaze Estéril;2024-09-21 03:00:00;285;0,41;116,85
Paracetamol;2024-09-14 09:00:00;506;1,49;753,94
Luvas Cirúrgicas;2024-11-27 03:00:00;149;0,77;114,73
Adrenalina;2024-01-23 15:00:00;239;4,94;1180,66
Adrenalina;2024-11-29 09:00:00;271;4,91;1330,61
Máscaras N95;2024-04-25 15:00:00;302;4,69;1416,38
Gaze Estéril;2024-04-05 06:00:00;304;0,4;121,6
Dipirona;2024-04-25 21:00:00;532;1,3;691,6
Paracetamol;2024-05-27 06:00:00;538;1,52;817,76
Adrenalina;2024-10-10 06:00:00;146;4,9;715,4
Adrenalina;2024-07-26 18:00:00;239;5,06;1209,34
Gaze Estéril;2024-01-01 06:00:00;322;0,4;128,8
Luvas Cirúrgicas;2024-02-17 06:00:00;168;0,83;139,44
Álcool 70%;2024-05-10 09:00:00;317;1,99;630,83
Máscaras N95;2024-06-06 15:00:00;286;4,67;1335,62
Soro Fisiológico;2024-09-22 09:00:00;388;2,95;1144,6
Máscaras N95;2024-10-11 15:00:00;294;4,41;1296,54
Soro Fisiológico;2024-06-11 00:00:00;298;2,99;891,02
Adrenalina;2024-11-27 12:00:00;257;4,97;1277,29
Seringas;2024-07-21 15:00:00;527;0,49;258,23
Adrenalina;2024-08-03 12:00:00;354;4,96;1755,84
Algodão;2024-09-29 09:00:00;467;0,25;116,75
Álcool 70%;2024-06-25 00:00:00;423;1,99;841,77
Máscaras N95;2024-10-21 06:00:00;282;4,9;1381,8
Adrenalina;2024-09-05 15:00:00;427;5,01;2139,27
Máscaras N95;2024-09-06 00:00:00;302;4,76;1437,52
Luvas Cirúrgicas;2024-08-04 21:00:00;249;0,79;196,71
Álcool 70%;2024-07-12 12:00:00;205;2,02;414,1
Paracetamol;2024-12-18 06:00:00;501;1,48;741,48
Gaze Estéril;2024-10-24 09:00:00;302;0,4;120,8
Paracetamol;2024-04-28 18:00:00;515;1,48;762,2
Dipirona;2024-10-31 06:00:00;500;1,29;645
Luvas Cirúrgicas;2024-09-27 06:00:00;318;0,9;286,2
Máscaras N95;2024-10-23 09:00:00;301;4,38;1318,38
Gaze Estéril;2024-07-14 15:00:00;291;0,4;116,4
Luvas Cirúrgicas;2024-07-16 21:00:00;620;0,86;533,2
Algodão;2024-07-25 18:00:00;465;0,25;116,25
Gaze Estéril;2024-06-17 03:00:00;289;0,4;115,6
Máscaras N95;2024-12-14 21:00:00;298;5,11;1522,78
Adrenalina;2024-03-07 03:00:00;161;5,1;821,1
Seringas;2024-08-10 03:00:00;106;0,46;48,76
Paracetamol;2024-07-23 21:00:00;514;1,53;786,42
Dipirona;2024-10-11 00:00:00;484;1,3;629,2
Seringas;2024-04-30 03:00:00;899;0,46;413,54
Máscaras N95;2024-03-18 03:00:00;295;4,58;1351,1
Adrenalina;2024-03-15 09:00:00;134;5,06;678,04
Seringas;2024-03-20 18:00:00;95;0,55;52,25
Álcool 70%;2024-05-11 18:00:00;198;2,02;399,96
Luvas Cirúrgicas;2024-01-27 03:00:00;140;0,86;120,4
Luvas Cirúrgicas;2024-04-27 00:00:00;71;0,85;60,35
Gaze Estéril;2024-10-08 21:00:00;329;0,4;131,6
Algodão;2024-11-14 03:00:00;432;0,25;108
Seringas;2024-10-25 21:00:00;571;0,55;314,05
Seringas;2024-08-10 12:00:00;265;0,53;140,45
Álcool 70%;2024-06-26 12:00:00;391;2,04;797,64
Algodão;2024-08-19 06:00:00;557;0,25;139,25
Adrenalina;2024-07-01 12:00:00;304;5,09;1547,36
Paracetamol;2024-09-02 15:00:00;478;1,52;726,56
Álcool 70%;2024-04-02 00:00:00;470;2,03;954,1
Algodão;2024-09-17 09:00:00;164;0,25;41
Algodão;2024-09-25 09:00:00;164;0,25;41
Álcool 70%;2024-07-24 12:00:00;371;2,04;756,84
Paracetamol;2024-09-10 03:00:00;506;1,48;748,88
Algodão;2024-10-21 03:00:00;251;0,25;62,75
Luvas Cirúrgicas;2024-09-20 18:00:00;76;0,88;66,88
Dipirona;2024-11-02 09:00:00;;1,29;682,41
Luvas Cirúrgicas;2024-01-07 03:00:00;491;0,87;427,17
Soro Fisiológico;2024-10-21 03:00:00;463;3,02;1398,26
Dipirona;2024-09-11 09:00:00;494;1,31;647,14
Dipirona;2024-05-29 21:00:00;498;1,3;647,4
Soro Fisiológico;2024-08-11 15:00:00;398;3,05;1213,9
Algodão;2024-12-06 12:00:00;119;0,25;29,75
Adrenalina;2024-08-16 03:00:00;333;4,95;1648,35
Álcool 70%;2024-07-11 00:00:00;264;1,98;522,72
Dipirona;2024-01-01 00:00:00;494;1,28;632,32
Máscaras N95;2024-09-17 09:00:00;318;5,06;1609,08
Paracetamol;2024-08-11 18:00:00;516;1,53;789,48
Adrenalina;2024-05-17 06:00:00;363;5,05;1833,15
Gaze Estéril;2024-01-13 06:00:00;301;0,4;120,4
Seringas;2024-11-06 09:00:00;99;0,5;49,5
Seringas;2024-04-26 00:00:00;172;0,49;84,28
Algodão;2024-12-15 12:00:00;;0,25;23,5
Adrenalina;2024-05-26 06:00:00;333;5;1665
Seringas;2024-05-22 21:00:00;150;0,45;67,5
Adrenalina;2024-04-16 09:00:00;440;5,05;2222
Álcool 70%;2024-05-06 09:00:00;476;1,98;942,48
Seringas;2024-06-07 18:00:00;241;0,49;118,09
Seringas;2024-04-28 18:00:00;572;0,45;257,4
Luvas Cirúrgicas;2024-02-28 09:00:00;552;0,82;452,64
Paracetamol;2024-07-18 03:00:00;481;1,48;711,88
Soro Fisiológico;2024-07-20 03:00:00;355;3,02;1072,1
Dipirona;2024-06-30 21:00:00;512;1,29;660,48
Adrenalina;2024-07-27 21:00:00;227;4,94;1121,38
Paracetamol;2024-03-28 12:00:00;543;1,47;798,21
Gaze Estéril;2024-06-25 18:00:00;287;0,4;114,8
Algodão;2024-04-19 18:00:00;540;0,25;135
Algodão;2024-12-10 15:00:00;200;0,25;50
Máscaras N95;2024-02-05 12:00:00;319;4,53;1445,07
Soro Fisiológico;2024-11-20 03:00:00;328;3;984
Seringas;2024-09-16 18:00:00;204;0,45;91,8
Dipirona;2024-05-17 15:00:00;487;1,32;642,84
Luvas Cirúrgicas;2024-02-29 09:00:00;274;0,89;243,86
Luvas Cirúrgicas;2024-04-07 18:00:00;174;0,72;125,28
Máscaras N95;2024-12-11 03:00:00;319;4,05;1291,95
Soro Fisiológico;2024-08-16 18:00:00;323;3;969
Paracetamol;2024-04-05 12:00:00;486;1,52;738,72
Dipirona;2024-01-24 12:00:00;482;1,29;621,78
Seringas;2024-02-06 03:00:00;305;0,48;146,4
Dipirona;2024-06-25 18:00:00;517;1,29;666,93
Paracetamol;2024-04-04 18:00:00;493;1,51;744,43
Máscaras N95;2024-10-30 21:00:00;299;4,13;1234,87
Adrenalina;2024-04-02 18:00:00;256;5,06;1295,36
Soro Fisiológico;2024-09-24 09:00:00;253;3,02;764,06
Luvas Cirúrgicas;2024-03-30 21:00:00;123;0,75;92,25
Gaze Estéril;2024-01-05 12:00:00;;0,39;120,51
Gaze Estéril;2024-07-31 18:00:00;309;0,39;120,51
Paracetamol;2024-01-05 18:00:00;475;1,48;703
Dipirona;2024-03-26 15:00:00;514;1,28;657,92
Soro Fisiológico;2024-04-17 21:00:00;248;3;744
Gaze Estéril;2024-11-19 21:00:00;273;0,4;109,2
Luvas Cirúrgicas;2024-01-18 15:00:00;331;0,69;228,39
Máscaras N95;2024-12-18 09:00:00;318;4,52;1437,36
Dipirona;2024-10-20 06:00:00;474;1,3;616,2
Adrenalina;2024-07-21 18:00:00;218;5,03;1096,54
Adrenalina;2024-06-17 09:00:00;227;4,95;1123,65
Paracetamol;2024-12-27 18:00:00;481;1,51;726,31
Dipirona;2024-09-21 18:00:00;487;1,31;637,97
Álcool 70%;2024-08-28 09:00:00;439;1,98;869,22
Dipirona;2024-07-26 09:00:00;504;1,28;645,12
Luvas Cirúrgicas;2024-04-16 06:00:00;217;0,8;173,6
Algodão;2024-09-12 12:00:00;;0,25;146,5
Algodão;2024-04-12 00:00:00;404;0,25;101
Algodão;2024-02-01 03:00:00;331;0,25;82,75
Soro Fisiológico;2024-02-27 15:00:00;431;2,99;1288,69
Adrenalina;2024-04-18 12:00:00;360;4,97;1789,2
Luvas Cirúrgicas;2024-12-27 03:00:00;663;0,74;490,62
Luvas Cirúrgicas;2024-12-28 18:00:00;241;0,83;200,03
Adrenalina;2024-12-21 06:00:00;321;5;1605
Álcool 70%;2024-11-18 06:00:00;456;2,02;921,12
Algodão;2024-12-24 21:00:00;206;0,25;51,5
Álcool 70%;2024-06-13 06:00:00;268;2,02;541,36
Adrenalina;2024-08-02 12:00:00;377;5,02;1892,54
Adrenalina;2024-02-25 15:00:00;183;4,91;898,53
Gaze Estéril;2024-07-24 21:00:00;0;0,4;0
Algodão;2024-02-29 15:00:00;312;0,25;78
Paracetamol;2024-12-16 21:00:00;494;1,49;736,06
Gaze Estéril;2024-08-17 15:00:00;297;0,4;118,8
Gaze Estéril;2024-09-05 18:00:00;304;0,41;124,64
Máscaras N95;2024-11-03 00:00:00;325;4,33;1407,25
Luvas Cirúrgicas;2024-10-05 06:00:00;724;0,91;658,84
Adrenalina;2024-11-26 00:00:00;272;5,08;1381,76
Seringas;2024-10-09 18:00:00;430;0,45;193,5
Luvas Cirúrgicas;2024-10-22 03:00:00;266;0,82;218,12
Seringas;2024-03-23 09:00:00;162;0,5;81
Soro Fisiológico;2024-02-19 06:00:00;320;3,05;976
Álcool 70%;2024-07-16 18:00:00;76;2,01;152,76
Álcool 70%;2024-06-02 00:00:00;317;2,03;643,51
Máscaras N95;2024-10-26 21:00:00;307;5,13;1574,91
Paracetamol;2024-02-01 12:00:00;479;1,49;713,71
Adrenalina;2024-05-05 12:00:00;170;4,95;841,5
Dipirona;2024-09-26 06:00:00;437;1,29;563,73
Paracetamol;2024-03-04 21:00:00;487;1,47;715,89
Algodão;2024-11-14 15:00:00;161;0,25;40,25
Dipirona;2024-12-21 00:00:00;475;1,32;627
Máscaras N95;2024-03-28 00:00:00;300;4,87;1461
Máscaras N95;2024-05-09 06:00:00;326;4,03;1313,78
Dipirona;2024-02-20 15:00:00;470;1,3;611
Álcool 70%;2024-01-18 21:00:00;51;1,96;99,96
Seringas;2024-02-05 03:00:00;142;0,5;71
Adrenalina;2024-11-14 15:00:00;326;4,95;1613,7
Seringas;2024-02-09 15:00:00;105;0,47;49,35
Gaze Estéril;2024-01-05 03:00:00;326;0,39;127,14
Dipirona;2024-05-21 18:00:00;472;1,32;623,04
Soro Fisiológico;2024-02-04 12:00:00;226;3,02;682,52
Paracetamol;2024-04-03 18:00:00;465;1,48;688,2
Seringas;2024-06-24 15:00:00;74;0,54;39,96
Máscaras N95;2024-01-09 09:00:00;295;5,16;1522,2
Paracetamol;2024-10-20 12:00:00;473;1,5;709,5
Adrenalina;2024-01-28 06:00:00;302;5,08;1534,16
Seringas;2024-11-25 21:00:00;147;0,43;63,21
Soro Fisiológico;2024-01-19 18:00:00;401;3,01;1207,01
Álcool 70%;2024-09-13 21:00:00;234;2,03;475,02
Gaze Estéril;2024-05-02 21:00:00;281;0,39;109,59
Soro Fisiológico;2024-09-14 06:00:00;331;3,03;1002,93
Algodão;2024-02-03 18:00:00;158;0,25;39,5
Máscaras N95;2024-10-30 18:00:00;291;4,67;1358,97
Álcool 70%;2024-12-25 03:00:00;598;1,97;1178,06
Adrenalina;2024-05-15 12:00:00;354;5,08;1798,32
Algodão;2024-01-05 12:00:00;195;0,25;48,75
Gaze Estéril;2024-04-07 03:00:00;271;0,4;108,4
Gaze Estéril;2024-10-06 15:00:00;301;0,4;120,4
Luvas Cirúrgicas;2024-12-24 18:00:00;225;0,75;168,75
Paracetamol;2024-07-02 03:00:00;511;1,51;771,61
Seringas;2024-01-09 21:00:00;288;0,47;135,36
Seringas;2024-01-26 12:00:00;305;0,48;146,4
Álcool 70%;2024-07-22 03:00:00;424;2,01;852,24
Álcool 70%;2024-07-10 03:00:00;232;2,04;473,28
Paracetamol;2024-10-25 18:00:00;494;1,52;750,88
Algodão;2024-09-22 12:00:00;468;0,25;117
Luvas Cirúrgicas;2024-11-17 15:00:00;364;0,71;258,44
Gaze Estéril;2024-09-02 15:00:00;295;0,41;120,95
Máscaras N95;2024-06-04 15:00:00;305;4,49;1369,45
Adrenalina;2024-12-05 15:00:00;302;4,98;1503,96
Algodão;2024-10-17 15:00:00;268;0,25;67
Dipirona;2024-10-23 03:00:00;534;1,32;704,88
Seringas;2024-09-17 06:00:00;239;0,48;114,72
Máscaras N95;2024-05-28 12:00:00;311;3,94;1225,34
Algodão;2024-02-18 03:00:00;521;0,25;130,25
Álcool 70%;2024-09-21 03:00:00;60;1,98;118,8
Seringas;2024-09-21 18:00:00;503;0,55;276,65
Paracetamol;2024-03-23 18:00:00;481;1,48;711,88
Álcool 70%;2024-08-08 00:00:00;63;2,03;127,89
Adrenalina;2024-04-30 03:00:00;453;4,94;2237,82
Luvas Cirúrgicas;2024-09-21 09:00:00;206;0,84;173,04
Dipirona;2024-03-08 09:00:00;525;1,32;693
Gaze Estéril;2024-01-16 18:00:00;315;0,4;126
Máscaras N95;2024-07-12 12:00:00;288;4,09;1177,92
Paracetamol;2024-03-06 21:00:00;515;1,48;762,2
Luvas Cirúrgicas;2024-07-24 09:00:00;281;0,78;219,18
Álcool 70%;2024-09-06 00:00:00;141;2,01;283,41
Dipirona;2024-11-13 12:00:00;491;1,29;633,39
Soro Fisiológico;2024-02-19 00:00:00;193;3,04;586,72
Adrenalina;2024-12-12 21:00:00;329;5,06;1664,74
Soro Fisiológico;2024-01-02 06:00:00;278;2,94;817,32
Dipirona;2024-04-16 15:00:00;459;1,32;605,88
Luvas Cirúrgicas;2024-12-25 03:00:00;340;0,74;251,6
Seringas;2024-07-27 12:00:00;595;0,53;315,35
Paracetamol;2024-02-23 15:00:00;506;1,47;743,82
Luvas Cirúrgicas;2024-06-27 03:00:00;511;0,85;434,35
Seringas;2024-08-05 09:00:00;440;0,53;233,2
Adrenalina;2024-08-16 00:00:00;431;5,01;2159,31
Seringas;2024-02-22 03:00:00;166;0,54;89,64
Máscaras N95;2024-08-20 12:00:00;294;3,91;1149,54
Luvas Cirúrgicas;2024-09-14 00:00:00;96;0,71;68,16
Luvas Cirúrgicas;2024-04-24 09:00:00;309;0,74;228,66
Dipirona;2024-09-01 03:00:00;503;1,29;648,87
Máscaras N95;2024-11-09 03:00:00;298;3,99;1189,02
Dipirona;2024-10-03 21:00:00;489;1,3;635,7
Algodão;2024-02-29 06:00:00;158;0,25;39,5
Algodão;2024-10-08 21:00:00;517;0,25;129,25
Paracetamol;2024-06-02 06:00:00;564;1,48;834,72
Paracetamol;2024-12-16 12:00:00;525;1,5;787,5
Seringas;2024-01-09 00:00:00;639;0,46;293,94
Álcool 70%;2024-09-27 15:00:00;94;1,97;185,18
Soro Fisiológico;2024-03-19 15:00:00;286;2,95;843,7
Máscaras N95;2024-10-16 15:00:00;296;3,99;1181,04
Soro Fisiológico;2024-12-24 00:00:00;271;3,04;823,84
Paracetamol;2024-04-22 21:00:00;486;1,52;738,72
Adrenalina;2024-08-04 12:00:00;253;5,01;1267,53
Adrenalina;2024-11-04 09:00:00;159;5,05;802,95
Gaze Estéril;2024-05-23 21:00:00;312;0,4;124,8
Seringas;2024-01-30 06:00:00;190;0,48;91,2
Paracetamol;2024-11-07 15:00:00;447;1,52;679,44
Paracetamol;2024-01-11 15:00:00;535;1,5;802,5
Álcool 70%;2024-05-03 12:00:00;109;2,03;221,27
Dipirona;2024-01-08 21:00:00;516;1,32;681,12
Gaze Estéril;2024-10-22 06:00:00;316;0,39;123,24
Paracetamol;2024-10-09 06:00:00;493;1,48;729,64
Álcool 70%;2024-02-12 15:00:00;324;1,97;638,28
Dipirona;2024-01-19 21:00:00;473;1,32;624,36
Gaze Estéril;2024-07-22 00:00:00;312;0,4;124,8
Adrenalina;2024-03-07 15:00:00;212;4,91;1040,92
Álcool 70%;2024-07-06 09:00:00;308;1,99;612,92
Soro Fisiológico;2024-04-18 12:00:00;148;2,95;436,6
Dipirona;2024-01-12 00:00:00;499;1,32;658,68
Máscaras N95;2024-12-09 15:00:00;269;4,85;1304,65
Algodão;2024-08-11 15:00:00;266;0,25;66,5
Gaze Estéril;2024-11-17 15:00:00;316;0,4;126,4
Gaze Estéril;2024-03-27 21:00:00;305;0,4;122
Dipirona;2024-09-14 12:00:00;495;1,29;638,55
Paracetamol;2024-07-25 15:00:00;464;1,5;696
Dipirona;2024-06-28 06:00:00;517;1,32;682,44
Soro Fisiológico;2024-12-19 18:00:00;333;3,05;1015,65
Paracetamol;2024-07-10 12:00:00;478;1,53;731,34
Luvas Cirúrgicas;2024-11-23 12:00:00;690;0,91;627,9
Soro Fisiológico;2024-03-24 03:00:00;311;3,01;936,11
Álcool 70%;2024-09-14 00:00:00;471;2,03;956,13
Algodão;2024-12-11 00:00:00;170;0,25;42,5
Soro Fisiológico;2024-03-17 18:00:00;307;2,94;902,58
